state,action
Alabama,0
Alaska,1
Arizona,1
Arkansas,0
California,3
Colorado,2
Connecticut,3
Delaware,1
District of Columbia,4
Florida,0
Georgia,0
Hawaii,1
Idaho,0
Illinois,0
Indiana,1
Iowa,5
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,4
Massachusetts,4
Michigan,1
Minnesota,4
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,3
New Hampshire,1
New Jersey,2
New Mexico,1
New York,4
North Carolina,0
North Dakota,1
Ohio,0
Oklahoma,0
Oregon,3
Pennsylvania,0
Rhode Island,2
South Carolina,0
South Dakota,1
Tennessee,5
Texas,0
Utah,0
Vermont,4
Virginia,0
Washington,3
West Virginia,0
Wisconsin,0
Wyoming,0
