state,action
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,2
Colorado,1
Connecticut,1
Delaware,0
District of Columbia,2
Florida,0
Georgia,0
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,2
Michigan,0
Minnesota,2
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,1
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,0
Washington,1
West Virginia,0
Wisconsin,0
Wyoming,0
